Temp,Humidity,Fertility,Score
31.1,83.6,70.0,80.2
42.7,82.2,7.5,70.1
24.3,90.2,81.1,90.2
24.5,51.7,28.6,90.0
21.4,26.2,40.8,79.9
44.6,21.6,44.7,70.0
30.6,95.6,78.5,80.3
25.9,89.5,88.5,90.2
15.6,36.6,58.8,69.9
41.2,43.7,29.4,80.0
14.7,49.9,4.2,79.8
35.9,19.2,75.4,80.1
17.3,37.7,90.1,80.0
25.1,99.4,46.9,80.1
17.6,71.7,13.0,69.9
15.5,51.1,69.5,90.0
34.1,62.3,4.1,80.0
32.1,71.6,7.7,70.0
19.7,64.4,23.0,79.9
31.2,52.7,69.0,90.1
33.2,17.5,52.5,70.0
32.0,65.3,22.7,80.0
19.2,82.0,79.5,80.1
44.3,49.9,94.7,90.3
11.8,61.4,43.8,79.9
38.0,14.2,80.6,80.1
15.7,61.4,29.0,79.9
21.4,99.9,12.8,80.0
17.9,95.8,73.6,80.2
42.2,86.8,60.9,80.3
21.2,40.7,17.9,89.9
24.3,19.5,41.1,79.9
35.8,84.6,91.5,80.3
19.5,52.9,34.1,79.9
43.0,72.9,28.5,70.1
15.2,24.7,83.9,80.0
34.3,24.4,40.9,70.0
19.6,74.7,92.0,80.2
41.3,58.8,15.1,80.0
35.3,23.6,4.2,69.9
10.5,14.4,25.3,69.7
14.3,98.0,17.3,70.0
44.5,14.1,43.2,70.0
38.9,64.0,38.9,80.1
16.3,20.4,65.7,79.9
12.4,85.5,74.3,80.1
32.8,80.3,31.4,70.1
33.2,13.6,68.5,80.0
42.4,90.6,15.6,70.1
28.3,79.6,11.6,80.0
10.5,86.2,57.1,70.0
13.9,75.5,33.2,70.0
32.6,56.2,28.4,80.0
21.5,87.8,96.9,90.2
41.9,60.9,1.5,80.0
13.1,15.5,51.7,69.8
26.9,16.7,25.6,79.9
38.5,30.7,75.3,80.1
19.5,19.6,2.5,69.8
27.3,12.6,74.3,90.0
23.3,56.7,19.3,89.9
33.6,41.0,40.0,80.0
25.5,93.9,83.1,90.2
33.3,21.5,47.6,70.0
12.6,70.2,99.2,80.1
20.8,86.2,66.6,90.1
37.6,70.9,44.5,70.1
15.0,41.0,52.1,79.9
34.7,29.8,64.4,80.1
29.0,97.7,86.7,90.3
15.9,48.5,45.2,79.9
28.1,98.5,33.6,80.1
32.5,14.8,72.9,80.0
22.4,78.7,42.6,80.1
18.9,17.9,51.0,69.9
27.6,77.6,16.1,80.0
21.0,39.7,66.8,90.0
17.1,27.8,90.7,80.0
14.3,71.0,41.2,70.0
43.4,27.7,79.4,80.2
19.2,71.8,89.2,80.1
40.2,81.3,81.1,80.3
29.7,49.8,35.4,90.0
15.9,23.4,29.3,69.8
40.7,12.8,99.8,80.2
11.2,88.9,88.6,80.1
27.6,65.7,34.0,81.8
17.2,29.1,82.1,52.9
11.0,80.4,63.1,39.4
30.2,40.5,17.9,57.7
23.9,32.6,23.0,58.2
44.1,49.7,10.5,33.8
30.5,47.9,87.0,82.9
13.0,15.4,18.4,13.4
35.2,30.7,26.8,39.9
14.3,56.1,65.9,58.3
38.1,31.8,76.6,42.1
35.0,32.0,51.7,55.1
32.1,81.3,93.7,59.1
36.5,98.7,90.1,37.1
16.6,26.7,51.8,42.9
33.0,52.0,63.2,71.5
34.5,64.6,96.3,81.6
16.8,12.7,71.1,44.3
36.2,62.8,80.4,68.0
36.8,17.3,0.8,6.9
16.2,32.4,55.2,54.2
32.2,76.2,48.7,54.3
35.1,58.4,50.3,61.4
38.2,99.2,29.7,9.1
17.7,69.2,78.5,82.4
17.0,86.1,87.3,56.0
10.3,64.9,75.8,65.7
32.1,67.6,43.9,65.4
16.3,17.2,86.4,43.4
23.6,17.9,3.3,31.2
31.0,61.1,2.4,57.8
19.2,89.7,88.9,58.6
29.7,68.1,95.1,97.6
14.8,31.4,20.1,32.7
39.3,57.0,61.6,54.6
22.5,87.4,85.2,68.2
17.2,30.4,41.2,51.2
37.3,96.5,70.0,30.3
18.5,97.2,2.9,17.4
18.0,30.2,42.6,53.2
26.4,96.3,25.8,41.0
26.7,76.4,19.3,58.2
21.0,72.4,37.9,62.5
25.9,62.1,32.4,78.3
12.2,11.2,60.7,27.7
15.0,80.0,4.1,44.6
31.7,11.6,7.9,24.1
19.3,52.3,32.4,66.5
30.5,43.2,25.8,63.2
20.0,66.7,38.5,81.5
35.9,95.7,19.2,15.1
44.5,85.9,34.3,17.7
16.8,77.9,66.7,59.1
32.9,47.0,20.1,61.2
44.0,69.5,38.2,46.6
32.4,77.7,83.8,66.0
16.9,43.2,41.2,67.6
40.4,98.3,57.2,14.1
27.5,25.9,76.4,65.1
38.1,47.8,36.8,47.5
42.2,91.8,39.8,9.8
43.2,36.8,45.1,33.3
25.2,26.8,89.5,72.0
30.9,61.2,58.7,75.7
29.8,23.3,32.8,52.1
28.3,21.4,19.7,50.0
26.8,34.0,92.4,78.0
20.8,92.5,37.9,44.8
15.8,19.2,39.1,32.4
11.9,26.4,68.6,40.6
22.4,32.6,16.5,58.9
23.0,86.3,99.2,72.3
35.1,92.3,77.2,34.0
23.2,95.8,69.6,55.3
19.3,62.7,87.9,81.3
31.4,26.8,28.5,38.6
24.6,34.8,19.1,55.7
31.6,51.6,24.2,62.0
37.1,75.7,12.1,34.6
33.0,50.9,81.0,79.2
30.7,67.9,53.9,70.5
30.6,23.8,22.0,35.2
40.6,15.9,36.5,10.4
41.5,13.6,51.6,14.9
28.2,67.0,13.0,72.9
33.7,71.6,26.4,47.3
15.6,25.5,63.7,50.9
25.5,73.6,5.1,54.8
30.0,27.6,50.9,58.8
20.7,85.8,16.6,48.7
21.4,47.1,81.1,92.3
41.3,23.8,47.0,22.5
39.2,93.3,24.0,6.2
39.8,94.1,43.1,12.9
23.4,21.9,58.9,62.0
21.3,61.9,84.5,96.7
13.6,77.2,64.2,46.3
28.3,56.5,65.9,91.9
32.6,77.3,34.6,50.1
43.8,92.8,55.3,15.8
40.9,55.5,98.9,63.6
30.5,72.2,93.9,67.8
30.5,72.2,93.9,67.8
22.6,80.0,71.0,82.8
42.2,20.1,8.9,51.5
34.8,56.5,90.0,79.2
34.8,56.5,90.0,79.2
23.3,59.0,37.2,83.6
41.0,55.1,19.2,66.8
15.5,99.2,17.0,25.4
15.5,99.2,17.0,25.4
36.9,36.4,60.5,75.5
22.4,50.7,58.9,86.1
27.8,90.0,88.3,72.7
27.8,90.0,88.3,72.7
35.6,51.6,86.0,66.0
35.6,51.6,86.0,66.0
19.8,63.3,35.9,83.9
10.4,72.1,41.6,67.3
32.6,38.0,10.0,42.0
32.6,38.0,10.0,42.0
43.2,47.3,56.7,50.7
43.2,47.3,56.7,50.7
27.0,29.6,64.6,80.2
25.0,83.1,18.6,74.9
12.1,74.9,64.3,48.4
12.1,74.9,64.3,48.4
12.5,47.9,97.5,76.3
12.5,47.9,97.5,76.3
16.8,25.1,5.6,34.0
16.8,25.1,5.6,34.0
35.8,49.0,73.6,82.0
33.9,16.2,90.7,82.3
12.2,91.4,16.2,11.9
12.2,91.4,16.2,11.9
10.3,19.2,85.8,32.6
10.3,19.2,85.8,32.6
20.2,68.8,80.7,90.8
20.2,68.8,80.7,90.8
30.9,24.1,47.1,70.1
43.2,17.1,20.2,51.4
13.0,13.3,40.9,19.5
13.0,13.3,40.9,19.5
37.5,77.7,73.4,52.2
37.5,77.7,73.4,52.2
25.8,38.2,92.3,82.4
25.8,38.2,92.3,82.4
11.6,16.0,63.5,60.4
28.3,65.6,23.0,78.0
14.1,79.8,86.7,57.1
14.1,79.8,86.7,57.1
10.8,19.0,36.1,19.3
10.8,19.0,36.1,19.3
26.3,29.4,39.2,55.4
26.3,29.4,39.2,55.4
28.9,74.9,84.8,84.9
10.7,95.7,35.4,54.0
35.6,29.7,50.9,32.6
35.6,29.7,50.9,32.6
33.7,15.0,7.2,23.9
33.7,15.0,7.2,23.9
41.8,72.2,56.4,32.9
41.8,72.2,56.4,32.9
29.6,49.7,45.7,79.6
35.9,55.3,59.4,77.0
26.4,64.2,93.0,97.2
26.4,64.2,93.0,97.2
37.2,85.7,91.8,44.4
37.2,85.7,91.8,44.4
42.8,49.5,36.8,46.9
42.8,49.5,36.8,46.9
43.9,91.9,89.6,67.4
39.4,84.2,78.6,69.7
33.7,34.8,32.3,49.2
33.7,34.8,32.3,49.2
34.7,27.5,76.5,54.7
34.7,27.5,76.5,54.7
13.3,60.0,41.8,77.1
30.8,38.1,48.5,55.7
30.8,38.1,48.5,55.7
25.4,40.6,51.5,79.9
23.2,98.3,73.2,55.5
23.2,98.3,73.2,55.5
44.8,75.5,69.7,65.2
17.5,16.9,46.7,34.5
17.5,16.9,46.7,34.5
30.1,60.7,11.6,77.1
38.7,63.3,95.8,84.8
43.5,82.4,55.6,24.4
43.5,82.4,55.6,24.4
11.4,91.9,57.6,26.6
11.4,91.9,57.6,26.6
17.1,40.8,40.9,74.4
25.5,61.5,48.3,82.2
25.5,61.5,48.3,82.2
37.9,51.8,98.0,87.9
40.2,41.9,27.9,64.9
33.0,75.4,26.6,46.8
33.0,75.4,26.6,46.8
39.0,30.6,80.8,42.2
39.0,30.6,80.8,42.2
10.9,95.8,51.2,57.1
17.0,18.3,92.9,46.2
17.0,18.3,92.9,46.2
25.0,27.7,67.5,79.4
20.2,69.4,93.8,92.2
29.9,47.8,57.4,83.5
29.9,47.8,57.4,83.5
44.3,83.8,32.6,52.9
18.6,37.7,3.3,39.4
18.6,37.7,3.3,39.4
31.4,84.8,45.6,43.3
31.4,84.8,45.6,43.3
41.7,33.7,28.8,61.3
32.9,80.7,73.6,75.2
12.2,33.1,41.0,39.9
12.2,33.1,41.0,39.9
26.3,12.4,69.7,72.6
38.9,11.8,40.1,11.2
38.9,11.8,40.1,11.2
40.4,90.6,59.7,18.6
40.4,90.6,59.7,18.6
16.7,59.3,82.5,89.6
25.1,70.6,80.3,88.1
34.9,80.6,66.3,47.7
34.9,80.6,66.3,47.7
11.1,38.1,12.0,65.6
30.7,68.9,35.9,63.9
30.7,68.9,35.9,63.9
41.5,76.0,89.7,43.6
41.5,76.0,89.7,43.6
37.0,31.4,58.9,73.7
44.4,73.9,11.4,61.4
42.4,98.4,99.1,29.0
42.4,98.4,99.1,29.0
20.1,85.0,74.1,78.9
11.2,57.1,51.8,59.7
11.2,57.1,51.8,59.7
11.0,83.2,90.0,50.5
11.0,83.2,90.0,50.5
42.0,17.1,92.1,79.3
24.6,92.0,77.2,79.4
18.5,55.5,0.2,52.4
18.5,55.5,0.2,52.4
27.5,89.6,49.8,71.5
20.3,17.2,77.7,59.9
20.3,17.2,77.7,59.9
11.9,87.1,76.7,48.2
11.9,87.1,76.7,48.2
36.3,79.7,98.6,82.2
23.2,58.7,87.8,93.8
30.9,92.6,77.0,40.6
30.9,92.6,77.0,40.6
34.5,47.4,55.4,77.0
19.2,35.9,82.8,65.3
19.2,35.9,82.8,65.3
30.6,10.0,20.2,26.3
30.6,10.0,20.2,26.3
21.3,35.5,93.4,87.1
35.7,93.9,80.1,69.7
23.6,19.0,42.9,45.9
23.6,19.0,42.9,45.9
29.3,40.6,51.8,78.3
21.4,40.7,5.1,73.9
21.4,40.7,5.1,73.9
20.4,29.6,54.7,61.7
20.4,29.6,54.7,61.7
30.6,86.6,99.2,84.3
29.0,94.5,27.7,67.1
14.2,73.7,2.2,28.3
14.2,73.7,2.2,28.3
13.4,42.9,31.9,72.6
40.3,92.8,23.3,6.8
40.3,92.8,23.3,6.8
10.0,33.1,56.7,44.6
10.0,33.1,56.7,44.6
30.7,11.4,6.9,49.3
37.1,54.3,3.7,69.6
39.4,91.9,50.7,15.8
39.4,91.9,50.7,15.8
27.2,44.5,40.0,78.5
21.9,94.0,14.3,41.6
21.9,94.0,14.3,41.6
36.4,53.8,41.6,54.2
36.4,53.8,41.6,54.2
31.0,58.2,65.2,81.7
20.1,23.2,43.2,66.3
20.9,29.7,32.6,48.7
20.9,29.7,32.6,48.7
21.8,40.0,59.1,81.0
39.4,20.9,91.2,38.6
39.4,20.9,91.2,38.6
31.4,13.2,26.5,28.4
31.4,13.2,26.5,28.4
12.3,76.2,88.2,80.0
36.8,46.2,16.1,67.7
34.5,58.7,40.7,66.2
34.5,58.7,40.7,66.2
23.7,77.3,49.5,79.4
44.4,92.7,34.7,10.8
44.4,92.7,34.7,10.8
42.7,64.5,4.3,65.2
15.7,79.3,95.6,84.2
22.4,39.7,1.5,59.6
22.4,39.7,1.5,59.6
14.5,18.4,50.7,24.6
14.5,18.4,50.7,24.6
32.7,72.4,64.6,75.3
40.5,32.4,50.2,32.8
40.5,32.4,50.2,32.8
35.2,90.9,79.6,71.2
32.4,82.4,14.6,32.5
36.6,25.8,66.0,75.2
32.4,82.4,14.6,32.5
30.6,30.7,44.6,53.2
30.6,30.7,44.6,53.2
33.1,82.2,87.2,79.7
15.7,27.7,49.6,44.1
15.7,27.7,49.6,44.1
44.1,13.4,36.7,53.7
20.0,42.6,22.6,75.9
26.1,80.1,51.8,61.3
26.1,80.1,51.8,61.3
34.3,50.5,27.0,61.5
34.3,50.5,27.0,61.5
23.5,41.2,94.2,92.0
19.8,92.3,9.2,25.1
19.8,92.3,9.2,25.1
42.2,41.0,76.2,77.4
39.2,92.3,18.1,5.5
39.2,92.3,18.1,5.5
44.7,72.5,69.1,66.4
13.4,95.5,68.4,64.7
21.2,45.2,31.9,75.6
21.2,45.2,31.9,75.6
40.0,85.3,88.1,33.0
40.0,85.3,88.1,33.0
12.6,91.3,82.9,71.1
40.4,52.1,60.4,73.9
30.2,22.3,30.7,41.3
30.2,22.3,30.7,41.3
11.9,98.2,44.1,17.5
11.9,98.2,44.1,17.5
26.9,48.8,29.5,78.6
36.6,94.3,21.6,14.6
36.6,94.3,21.6,14.6
26.5,95.8,82.4,79.0
35.9,35.8,30.9,67.0
40.4,22.5,63.3,27.0
40.4,22.5,63.3,27.0
33.2,19.2,73.3,78.4
10.8,64.3,24.6,50.1
10.8,64.3,24.6,50.1
12.5,24.8,84.7,43.6
12.5,24.8,84.7,43.6
43.3,63.3,70.5,72.1
38.6,60.8,20.1,67.4
14.3,85.2,20.3,26.0
14.3,85.2,20.3,26.0
24.8,98.2,26.0,64.5
17.0,58.4,13.8,57.6
17.0,58.4,13.8,57.6
42.6,18.8,94.0,26.5
42.6,18.8,94.0,26.5
29.1,72.3,85.4,85.7
34.4,77.4,66.5,72.3
24.3,50.2,61.5,87.9
24.3,50.2,61.5,87.9
15.3,37.9,78.3,80.8
42.9,57.4,48.8,45.6
42.9,57.4,48.8,45.6
24.0,96.8,77.2,59.2
24.0,96.8,77.2,59.2
29.4,70.8,6.9,75.7
42.3,22.3,20.7,54.1
13.7,76.7,67.4,49.8
13.7,76.7,67.4,49.8
20.6,37.9,94.7,88.2
27.9,49.0,52.1,85.8
27.9,49.0,52.1,85.8
39.1,11.3,66.3,17.9
39.1,11.3,66.3,17.9
39.1,40.0,6.2,61.7
10.3,39.1,7.2,63.0
41.8,77.9,22.4,23.4
41.8,77.9,22.4,23.4
22.5,78.9,51.6,78.9
39.2,97.3,66.1,17.3
39.2,97.3,66.1,17.3
26.7,15.8,99.1,65.7
26.7,15.8,99.1,65.7
35.8,95.7,99.5,37.3
35.8,95.7,99.5,37.3
27.7,14.4,67.0,73.6
12.4,45.7,97.0,73.4
12.4,45.7,97.0,73.4
12.0,76.6,79.3,50.4
12.0,76.6,79.3,50.4
27.2,14.1,56.8,51.6
27.2,14.1,56.8,51.6
34.5,79.6,4.3,69.4
42.8,49.0,93.6,63.2
42.8,49.0,93.6,63.2
37.9,39.9,50.5,44.8
37.9,39.9,50.5,44.8
20.0,41.5,3.8,69.4
20.0,41.5,3.8,69.4
27.8,80.4,55.0,75.3
27.7,58.9,91.9,94.3
27.7,58.9,91.9,94.3
23.1,70.0,53.5,85.0
23.1,70.0,53.5,85.0
17.1,80.3,7.8,29.2
17.1,80.3,7.8,29.2
33.6,75.6,20.1,68.1
13.0,46.0,99.6,76.2
13.0,46.0,99.6,76.2
28.8,39.2,82.5,89.6
44.0,32.1,52.0,65.4
42.4,96.0,7.5,0.0
42.4,96.0,7.5,0.0
31.0,40.9,74.0,85.6
18.6,26.8,10.0,32.2
18.6,26.8,10.0,32.2
32.6,34.1,40.0,48.7
32.6,34.1,40.0,48.7
43.4,43.0,9.1,59.2
15.2,86.5,53.4,46.4
15.2,86.5,53.4,46.4
10.4,57.2,97.7,72.3
13.9,44.6,66.9,80.4
10.4,57.2,97.7,72.3
34.0,53.6,17.0,73.1
41.6,71.3,43.1,35.0
41.6,71.3,43.1,35.0
17.1,75.9,72.0,61.0
17.1,75.9,72.0,61.0
17.7,27.0,1.0,62.1
15.1,69.0,14.6,57.4
15.1,69.0,14.6,57.4
17.8,81.2,84.7,52.4
17.8,81.2,84.7,52.4
18.2,33.2,29.4,68.6
12.2,19.7,78.1,33.2
12.2,19.7,78.1,33.2
12.2,26.7,30.1,61.2
18.4,91.1,35.0,26.2
18.4,91.1,35.0,26.2
38.0,98.5,55.9,24.4
38.0,98.5,55.9,24.4
14.9,10.7,49.6,57.4
42.1,53.6,14.8,41.7
42.1,53.6,14.8,41.7
17.6,32.6,8.3,67.2
31.8,74.0,48.0,55.4
31.8,74.0,48.0,55.4
17.4,86.7,82.0,53.4
17.4,86.7,82.0,53.4
13.9,57.7,98.8,89.1
13.9,93.6,37.2,23.0
13.9,93.6,37.2,23.0
18.1,36.9,71.8,81.1
26.7,15.8,10.2,39.7
26.7,15.8,10.2,39.7
15.0,99.1,4.3,20.7
15.0,99.1,4.3,20.7
33.5,77.8,49.4,68.4
14.6,81.2,42.6,29.2
14.6,81.2,42.6,29.2
36.8,79.6,12.3,65.1
15.0,39.4,92.2,67.7
15.0,39.4,92.2,67.7
17.4,82.0,37.6,39.2
17.4,82.0,37.6,39.2
34.5,20.2,10.9,54.9
12.9,53.4,21.0,51.4
12.9,53.4,21.0,51.4
14.1,80.8,22.9,65.7
17.7,10.8,0.7,20.6
17.7,10.8,0.7,20.6
41.1,82.2,1.6,6.0
41.1,82.2,1.6,6.0
31.7,33.9,9.0,65.2
24.7,60.9,0.6,69.6
24.7,60.9,0.6,69.6
40.4,90.2,19.1,58.8
21.8,94.1,85.6,59.7
21.8,94.1,85.6,59.7
41.4,99.8,5.0,0.0
41.4,99.8,5.0,0.0
44.2,69.9,9.7,62.6
43.7,19.0,47.0,13.7
43.7,19.0,47.0,13.7
29.6,33.5,10.5,66.1
44.2,16.2,77.5,21.8
44.2,16.2,77.5,21.8
13.1,42.2,42.9,55.8
13.1,42.2,42.9,55.8
15.3,55.9,42.4,80.2
17.8,90.9,45.4,31.6
17.8,90.9,45.4,31.6
39.6,79.1,27.1,59.5
43.8,78.4,49.4,35.5
43.8,78.4,49.4,35.5
36.4,94.9,21.7,17.6
36.4,94.9,21.7,17.6
33.6,61.2,59.7,76.8
16.0,71.9,41.6,56.7
16.0,71.9,41.6,56.7
44.4,38.8,39.9,63.2
41.4,98.7,57.7,17.5
41.4,98.7,57.7,17.5
16.8,78.7,49.6,74.6
21.1,73.5,30.4,69.1
21.1,73.5,30.4,69.1
37.1,28.0,64.7,38.9
37.1,28.0,64.7,38.9
31.9,20.7,3.4,55.1
31.9,88.3,53.9,45.5
31.9,88.3,53.9,45.5
41.3,48.5,2.4,62.4
32.0,42.9,81.4,81.0
32.0,42.9,81.4,81.0
17.4,78.2,19.5,71.7
40.5,91.2,82.5,25.1
40.5,91.2,82.5,25.1
38.6,31.3,38.5,34.1
38.6,31.3,38.5,34.1
14.8,85.1,33.4,65.2
30.2,16.7,64.9,39.4
30.2,16.7,64.9,39.4
33.6,38.5,99.0,68.9
21.6,93.6,62.0,72.5
33.6,38.5,99.0,68.9
29.8,21.1,60.5,61.5
29.8,21.1,60.5,61.5
20.2,86.1,72.8,78.0
17.8,58.3,95.4,81.3
17.8,58.3,95.4,81.3
14.6,51.8,2.5,73.2
24.6,89.0,64.6,63.2
24.6,89.0,64.6,63.2
10.1,10.0,70.0,32.4
10.1,10.0,70.0,32.4
22.1,79.6,81.1,85.6
15.0,21.1,98.1,62.7
15.0,21.1,98.1,62.7
29.0,67.9,75.1,83.7
28.1,85.3,88.4,70.5
28.1,85.3,88.4,70.5
35.6,55.5,34.4,58.4
35.6,55.5,34.4,58.4
16.0,32.4,40.0,68.0
23.8,95.5,30.9,41.7
23.8,95.5,30.9,41.7
44.2,18.4,3.7,49.5
12.2,56.2,74.9,67.5
12.2,56.2,74.9,67.5
44.5,36.5,59.9,35.9
44.5,36.5,59.9,35.9
36.8,29.5,64.2,75.4
27.1,40.6,89.9,97.0
27.1,40.6,89.9,97.0
35.2,82.9,9.3,66.8
32.4,38.7,78.0,66.2
32.4,38.7,78.0,66.2
25.9,48.0,10.5,70.9
25.9,48.0,10.5,70.9
43.3,55.7,95.9,82.8
31.0,75.2,27.9,48.0
31.0,75.2,27.9,48.0
38.4,98.8,38.2,53.7
16.2,43.7,57.8,72.2
16.2,43.7,57.8,72.2
17.3,43.8,59.6,71.3
17.3,43.8,59.6,71.3
25.4,41.2,72.8,87.7
30.9,82.0,86.6,55.0
30.9,82.0,86.6,55.0
11.0,23.4,50.3,62.2
24.8,39.9,94.0,84.1
24.8,39.9,94.0,84.1
34.8,35.8,39.3,70.2
28.5,95.8,25.4,40.4
28.5,95.8,25.4,40.4
43.0,42.5,19.8,37.0
43.0,42.5,19.8,37.0
36.5,50.8,95.8,88.4
14.5,53.9,20.0,47.8
14.5,53.9,20.0,47.8
21.1,26.0,66.0,75.3
35.4,79.2,15.2,33.9
35.4,79.2,15.2,33.9
26.6,59.1,93.2,94.3
26.6,59.1,93.2,94.3
37.4,31.8,24.1,62.0
30.4,99.4,31.5,27.6
30.4,99.4,31.5,27.6
15.9,45.0,59.3,80.7
41.7,51.5,19.1,43.0
41.7,51.5,19.1,43.0
35.6,11.1,4.1,13.4
35.6,11.1,4.1,13.4
13.5,20.6,5.3,56.4
14.3,67.7,80.8,72.3
14.3,67.7,80.8,72.3
10.7,19.3,73.7,64.7
30.7,16.8,46.0,32.2
30.7,16.8,46.0,32.2
19.9,88.4,28.9,68.5
42.9,43.3,53.8,51.0
42.9,43.3,53.8,51.0
10.4,66.7,14.4,49.4
10.4,66.7,14.4,49.4
37.3,62.5,56.3,72.3
